Data transação,Data liquidação,Descrição,Valor,Saldo
2024-09-10,2024-09-10,Dividendos de NVDY,677.4,474.68
2024-09-10,2024-09-10,Imposto sobre dividendo de NVDY,-203.22,-202.72
2024-09-11,2024-09-11,Dividendos de LLY,6.5,1933.72
2024-09-11,2024-09-11,Imposto sobre dividendo de LLY,-1.95,1927.22
2024-09-13,2024-09-13,Imposto de aluguel de ativo,-0.04,1933.8
2024-09-13,2024-09-13,Rentabilidade de aluguel de ativo,0.12,1933.84
2024-09-17,2024-09-17,Dividendos de GOOGL,5.4,1937.58
2024-09-17,2024-09-17,Imposto sobre dividendo de GOOGL,-1.62,1932.18
2024-09-24,2024-09-25,Taxa de corretagem de Opções,-10,447.58
2024-09-24,2024-09-25,Compra de 5 contratos de PUT de BABA a $ 148 cada,-740,457.58
2024-09-24,2024-09-25,Compra de 5 contratos de PUT de BABA a $ 148 cada,-740,1197.58
2024-09-25,2024-09-25,Transferência da Conta corrente para Conta investimento,50,2487.58
2024-09-25,2024-09-26,Venda de 8 contratos de PUT de BABA a $ 200 cada,1600,2437.58
2024-09-25,2024-09-26,Taxa de corretagem de Opções,-10,837.58
2024-09-25,2024-09-26,Venda de 2 contratos de PUT de BABA a $ 200 cada,400,847.58
2024-09-26,2024-09-27,Taxa de corretagem de Opções,-5,32.58
2024-09-26,2024-09-27,Compra de 5 contratos de PUT de BABA a $ 490 cada,-2450,37.58
2024-09-27,2024-09-27,Dividendos de META,3.25,47.19
2024-09-27,2024-09-27,Imposto sobre dividendo de QCOM,-5.29,43.94
2024-09-27,2024-09-27,Imposto sobre dividendo de META,-0.98,49.23
2024-09-27,2024-09-27,Dividendos de QCOM,17.63,50.21
2024-10-01,2024-10-01,Dividendos de AVGO,19.08,60.55
2024-10-01,2024-10-01,Imposto sobre dividendo de AVGO,-5.72,41.47
2024-10-04,2024-10-04,Imposto sobre dividendo de NVDA,-0.13,60.84
2024-10-04,2024-10-04,Dividendos de NVDA,0.42,60.97
2024-10-12,2024-10-15,Dividendos de NVDY,549.95,445.8
2024-10-12,2024-10-15,Imposto sobre dividendo de NVDY,-164.99,-104.15
2024-10-16,2024-10-16,Imposto de aluguel de ativo,-0.36,446.63
2024-10-16,2024-10-16,Rentabilidade de aluguel de ativo,1.19,446.99
2024-10-19,2024-10-21,Dividendos de CONY,1694.75,1632.95
2024-10-19,2024-10-21,Imposto sobre dividendo de CONY,-508.43,-61.8
2024-10-21,2024-10-22,Taxa de corretagem de Opções,-3,4147.95
2024-10-21,2024-10-22,Venda de 2 contratos de PUT de BABA a $ 504 cada,1008,4150.95
2024-10-21,2024-10-22,Venda de 3 contratos de PUT de BABA a $ 504 cada,1512,3142.95
2024-10-21,2024-10-22,Taxa de corretagem de Opções,-2,1630.95
2024-10-26,2024-10-28,Dividendos de MSTY,1259.43,5029.55
2024-10-26,2024-10-28,Imposto sobre dividendo de MSTY,-377.83,3770.12
2024-10-31,2024-11-01,Compra de 1682 IBM a $ 20812 cada,-3500,1522.05
2024-10-31,2024-11-01,Cobrança de taxa de corretagem de IBM,-7.5,5022.05
2024-11-09,2024-11-12,Imposto sobre dividendo de NVDY,-153.42,1880.03
2024-11-09,2024-11-12,Dividendos de NVDY,511.4,2033.45
2024-11-11,2024-11-12,Transferência para Conta corrente,-1368.63,511.4
2024-11-16,2024-11-18,Dividendos de CONY,3089.44,2674.01
2024-11-16,2024-11-18,Imposto sobre dividendo de CONY,-926.83,-415.43
2024-11-18,2024-11-19,Taxa de corretagem de Opções,-1,563.01
2024-11-18,2024-11-19,Compra de 1 contrato de PUT de TSLA a $ 2110 cada,-2110,564.01
2024-11-19,2024-11-19,Dividendos de OMF,94.64,629.26
2024-11-19,2024-11-19,Imposto sobre dividendo de OMF,-28.39,534.62
2024-11-23,2024-11-25,Dividendos de MSTY,1326.39,1557.73
2024-11-23,2024-11-25,Imposto sobre dividendo de MSTY,-397.92,231.34
2024-12-03,2024-12-04,Compra de 784 RCL a $ 24512 cada,-1921.02,0.01
2024-12-03,2024-12-04,Cobrança de taxa de corretagem de RCL,-5,1921.03
2024-12-03,2024-12-04,Cobrança de taxa de corretagem de MSTY,-7.5,1926.03
2024-12-03,2024-12-04,Compra de 210 MSTY a $ 3397 cada,-7134.71,1933.53
2024-12-03,2024-12-04,Compra de 150 NVDY a $ 2539 cada,-3808.5,9068.24
2024-12-03,2024-12-04,Cobrança de taxa de corretagem de NVDY,-7.5,12876.74
2024-12-03,2024-12-03,Transferência da Conta corrente para Conta investimento,2.51,12884.24
2024-12-03,2024-12-04,Venda de 655 CONY a $ 1730 cada,11331.5,12881.73
2024-12-03,2024-12-04,Cobrança de taxa de corretagem de CONY,-7.5,1550.23
2024-12-07,2024-12-09,Dividendos de NVDY,770.32,539.23
2024-12-07,2024-12-09,Imposto sobre dividendo de NVDY,-231.1,-231.09
2024-12-10,2024-12-11,Compra de 227 RCL a $ 24474 cada,-556.72,0.01
